sboid;said;validFrom;validTo;organisationNumber;status;descriptionDe;descriptionFr;descriptionIt;descriptionEn;abbreviationDe;abbreviationFr;abbreviationIt;abbreviationEn;businessTypesId;businessTypesDe;businessTypesIt;businessTypesFr;transportCompanyNumber;transportCompanyAbbreviation;transportCompanyBusinessRegisterName;creationTime;editionTime
ch:1:sboid:1;1;2019-01-24;9999-12-31;90000;VALIDATED;Systemaufgaben Kundeninformation;Systemaufgaben Kundeninformation;Systemaufgaben Kundeninformation;Systemaufgaben Kundeninformation;SKI;SKI;SKI;SKI;70;Kundeninformation;Informazione alla clientela;Information clientèle;#0001u;SBB-KI;SBB Geschäftsstelle SKI;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100000;100000;1998-01-01;9999-12-31;10;VALIDATED;Zollbehandlungsgebühren Mini-tiger;Zollbehandlungsgebühren Mini-tigerFRFRF;Zollbehandlungsgebühren Mini-tigerII;Zollbehandlungsgebühren Mini-tigerllllllll;TIG ZBG;TIG ZBG;TIG ZBG;TIG ZBG;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100001;100001;2023-01-03;9999-12-31;11;VALIDATED;Schweizerische Bundesbahnen SBB;Chemins de fer fédéraux suisses CFF;Ferrovie federali svizzere FFS;Swiss Federal Railways SBB;SBB;CFF;FFS;SBB;10;Eisenbahn;Ferrovia;Chemin de fer;#0001;SBB;Schweizerische Bundesbahnen SBB;2023-01-03 09:52:57;2023-01-03 09:52:57
ch:1:sboid:100002;100002;1900-01-01;9999-12-31;12;VALIDATED;Schweizerische Bundesbahnen SBB Regionalverkehr;Schweizerische Bundesbahnen SBB Regionalverkehr;Schweizerische Bundesbahnen SBB Regionalverkehr;Schweizerische Bundesbahnen SBB Regionalverkehr;SBB RV;SBB RV;SBB RV;SBB RV;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100007;100007;1900-01-01;9999-12-31;22;VALIDATED;Appenzeller Bahnen (ab);Appenzeller Bahnen (ab);Appenzeller Bahnen (ab);Appenzeller Bahnen (ab);AB-ab;AB-ab;AB-ab;AB-ab;10;Eisenbahn;Ferrovia;Chemin de fer;#0109;AB;Appenzeller Bahnen AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100008;100008;2019-06-01;9999-12-31;23;VALIDATED;Transports Publics du Chablais;Transports Publics du Chablais;Transports Publics du Chablais;Transports Publics du Chablais;TPC;TPC;TPC;TPC;10;Eisenbahn;Ferrovia;Chemin de fer;#0105;TPC;Transports Publics du Chablais SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100009;100009;1900-01-01;9999-12-31;24;VALIDATED;Transports Publics du Chablais (aomc);Transports Publics du Chablais (aomc);Transports Publics du Chablais (aomc);Transports Publics du Chablais (aomc);TPC-aomc;TPC-aomc;TPC-aomc;TPC-aomc;10;Eisenbahn;Ferrovia;Chemin de fer;#0105;TPC;Transports Publics du Chablais SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100011;100011;1900-01-01;9999-12-31;27;VALIDATED;Transports Publics du Chablais (asd);Transports Publics du Chablais (asd);Transports Publics du Chablais (asd);Transports Publics du Chablais (asd);TPC-asd;TPC-asd;TPC-asd;TPC-asd;10;Eisenbahn;Ferrovia;Chemin de fer;#0105;TPC;Transports Publics du Chablais SA;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100012;100012;1900-01-01;9999-12-31;29;VALIDATED;Transports de la région Morges-Bière-Cossonay;Transports de la région Morges-Bière-Cossonay;Transports de la région Morges-Bière-Cossonay;Transports de la région Morges-Bière-Cossonay;MBC;MBC;MBC;MBC;10;Eisenbahn;Ferrovia;Chemin de fer;#0120;MBC;Transports de la région Morges-Bière-Cossonay SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100013;100013;2025-08-25;9999-12-31;31;VALIDATED;Aargau Verkehr AG;Aargau Verkehr AG;Aargau Verkehr AG;Aargau Verkehr AG;AVA-bd;AVA-bd;AVA-bd;AVA-bd;10;Eisenbahn;Ferrovia;Chemin de fer;#0183;AVA;Aargau Verkehr AG (AVA);2025-08-25 14:18:08;2025-08-25 14:18:08
ch:1:sboid:100014;100014;1900-01-01;9999-12-31;32;VALIDATED;Lauterbrunnen-Mürren;Lauterbrunnen-Mürren;Lauterbrunnen-Mürren;Lauterbrunnen-Mürren;BLM;BLM;BLM;BLM;10;Eisenbahn;Ferrovia;Chemin de fer;#0115;BLM;Bergbahn Lauterbrunnen-Mürren AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100015;100015;1900-01-01;9999-12-31;33;VALIDATED;BLS AG (bls);BLS AG (bls);BLS AG (bls);BLS AG (bls);BLS-bls;BLS-bls;BLS-bls;BLS-bls;10;Eisenbahn;Ferrovia;Chemin de fer;#0016;BLS;BLS AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100016;100016;1900-01-01;9999-12-31;34;VALIDATED;BLS AG (bn);BLS AG (bn);BLS AG (bn);BLS AG (bn);BLS-bn;BLS-bn;BLS-bn;BLS-bn;10;Eisenbahn;Ferrovia;Chemin de fer;#0016;BLS;BLS AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100017;100017;1900-01-01;9999-12-31;35;VALIDATED;Berner Oberland-Bahnen;Berner Oberland-Bahnen;Berner Oberland-Bahnen;Berner Oberland-Bahnen;BOB;BOB;BOB;BOB;10;Eisenbahn;Ferrovia;Chemin de fer;#0114;BOB;Berner Oberland-Bahnen AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100018;100018;1900-01-01;9999-12-31;36;VALIDATED;Schweizerische Südostbahn (bt);Schweizerische Südostbahn (bt);Schweizerische Südostbahn (bt);Schweizerische Südostbahn (bt);SOB-bt;SOB-bt;SOB-bt;SOB-bt;10;Eisenbahn;Ferrovia;Chemin de fer;#0019;SOB;Schweizerische Südostbahn AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100019;100019;2024-12-15;9999-12-31;37;VALIDATED;Baselland Transport;Baselland Transport;Baselland Transport;Baselland Transport;BLT;BLT;BLT;BLT;10;Eisenbahn;Ferrovia;Chemin de fer;#0122;BLT;BLT Baselland Transport AG;2024-03-12 08:59:52;2024-03-12 08:59:52
ch:1:sboid:100020;100020;1900-01-01;9999-12-31;38;VALIDATED;Aare Seeland mobil (bti);Aare Seeland mobil (bti);Aare Seeland mobil (bti);Aare Seeland mobil (bti);ASM-bti;ASM-bti;ASM-bti;ASM-bti;10;Eisenbahn;Ferrovia;Chemin de fer;#0136;asm;Aare Seeland mobil AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100021;100021;1900-01-01;9999-12-31;39;VALIDATED;Transports Publics du Chablais (bvb);Transports Publics du Chablais (bvb);Transports Publics du Chablais (bvb);Transports Publics du Chablais (bvb);TPC-bvb;TPC-bvb;TPC-bvb;TPC-bvb;10;Eisenbahn;Ferrovia;Chemin de fer;#0105;TPC;Transports Publics du Chablais SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100023;100023;1900-01-01;9999-12-31;42;VALIDATED;Montreux-Vevey-Riviera (cev);Montreux-Vevey-Riviera (cev);Montreux-Vevey-Riviera (cev);Montreux-Vevey-Riviera (cev);MVR-cev;MVR-cev;MVR-cev;MVR-cev;10;Eisenbahn;Ferrovia;Chemin de fer;#0212;MVR;Transports Montreux-Vevey-Riviera SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100024;100024;1900-01-01;9999-12-31;43;VALIDATED;Chemins de fer du Jura;Chemins de fer du Jura;Chemins de fer du Jura;Chemins de fer du Jura;CJ;CJ;CJ;CJ;10;Eisenbahn;Ferrovia;Chemin de fer;#0040;CJ;Compagnie des Chemins de fer du Jura (C.J.) SA;2022-08-04 14:16:27;2022-08-04 14:16:27
