service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA","1","1","1","1","1","1","1","20251214","20261212"
"TA+00100","0","0","0","0","1","0","1","20251214","20261212"
"TA+00200","1","1","1","1","1","1","1","20251214","20261212"
"TA+00300","0","0","0","0","0","1","1","20251214","20261212"
"TA+00400","1","1","1","1","0","0","0","20251214","20261212"
"TA+00600","0","0","0","0","0","0","1","20251214","20261212"
"TA+00610","0","0","0","0","0","0","1","20251214","20261212"
"TA+00700","1","1","1","1","1","1","1","20251214","20261212"
"TA+00e00","1","1","1","1","1","0","1","20251214","20261212"
"TA+00g00","1","1","0","1","1","1","0","20251214","20261212"
"TA+00o00","1","1","1","1","1","0","0","20251214","20261212"
"TA+00q00","1","1","1","1","1","1","0","20251214","20261212"
"TA+00r00","1","1","1","1","1","1","1","20251214","20261212"
"TA+00s00","1","1","1","1","1","1","1","20251214","20261212"
"TA+00u00","1","1","1","1","1","1","1","20251214","20261212"
"TA+00w00","0","0","0","0","0","1","0","20251214","20261212"
"TA+00x00","1","1","1","1","1","1","1","20251214","20261212"
"TA+01000","0","0","0","1","1","1","1","20251214","20261212"
"TA+01100","1","1","1","1","1","1","1","20251214","20261212"
"TA+01410","0","0","1","0","1","0","0","20251214","20261212"
"TA+01500","0","0","0","0","0","0","1","20251214","20261212"
"TA+01510","0","0","0","0","0","1","0","20251214","20261212"
"TA+01800","0","1","1","1","1","0","0","20251214","20261212"
"TA+01a00","1","0","1","1","0","0","0","20251214","20261212"
"TA+01b00","1","1","1","1","0","0","0","20251214","20261212"
"TA+01f00","1","0","0","1","1","0","0","20251214","20261212"
"TA+01g00","1","1","1","1","1","0","0","20251214","20261212"
"TA+01i00","1","0","0","0","1","1","1","20251214","20261212"
"TA+01k00","0","0","0","0","0","1","1","20251214","20261212"
"TA+01o00","1","1","1","1","1","1","1","20251214","20261212"
"TA+01p00","1","1","1","1","0","1","1","20251214","20261212"
"TA+01q00","0","0","0","0","1","0","0","20251214","20261212"
"TA+01r00","0","1","0","0","0","1","1","20251214","20261212"
"TA+01s00","1","1","1","1","1","1","1","20251214","20261212"
"TA+01t00","1","1","1","1","1","0","0","20251214","20261212"
"TA+01u00","1","1","1","1","1","1","0","20251214","20261212"
"TA+01w00","0","0","0","0","0","0","1","20251214","20261212"
"TA+01x00","1","1","1","1","1","1","1","20251214","20261212"
"TA+01z00","0","0","0","0","0","1","1","20251214","20261212"
"TA+02100","0","0","0","0","1","0","0","20251214","20261212"
"TA+02300","1","1","1","1","1","1","1","20251214","20261212"
"TA+02310","1","0","1","1","1","1","1","20251214","20261212"
"TA+02600","1","0","1","1","0","1","1","20251214","20261212"
"TA+02800","0","0","0","1","1","0","1","20251214","20261212"
"TA+02b00","0","0","0","0","0","0","1","20251214","20261212"
"TA+02e00","1","1","1","1","1","0","0","20251214","20261212"
"TA+02h00","0","1","1","0","1","1","1","20251214","20261212"
"TA+02i00","1","1","1","1","1","1","1","20251214","20261212"
"TA+02o00","0","0","0","1","1","1","1","20251214","20261212"
"TA+02p00","0","0","0","0","0","1","0","20251214","20261212"
"TA+02q00","1","1","1","1","0","0","0","20251214","20261212"
"TA+02r00","1","1","1","1","1","0","1","20251214","20261212"
"TA+02s00","0","0","0","0","0","0","1","20251214","20261212"
"TA+02v00","0","0","0","0","0","0","1","20251214","20261212"
"TA+02w00","1","1","1","1","1","1","1","20251214","20261212"
"TA+02x00","1","1","1","1","0","0","0","20251214","20261212"
"TA+03000","1","1","1","1","0","0","1","20251214","20261212"
"TA+03100","1","1","1","1","1","1","1","20251214","20261212"
"TA+03400","1","1","1","1","1","0","0","20251214","20261212"
"TA+03500","1","1","1","1","1","0","1","20251214","20261212"
"TA+03510","0","0","0","0","0","0","1","20251214","20261212"
"TA+03900","1","0","0","1","0","0","1","20251214","20261212"
"TA+03c00","1","1","1","1","1","0","0","20251214","20261212"
"TA+03e00","1","1","1","1","1","0","0","20251214","20261212"
"TA+03f00","1","1","1","1","1","0","0","20251214","20261212"
"TA+03g00","1","1","1","1","1","0","0","20251214","20261212"
"TA+03h00","1","1","1","1","0","0","0","20251214","20261212"
"TA+03o00","1","1","1","1","1","0","0","20251214","20261212"
"TA+03p00","0","0","0","1","0","1","1","20251214","20261212"
"TA+03q00","1","1","1","1","1","1","0","20251214","20261212"
"TA+03r00","1","1","1","1","1","1","1","20251214","20261212"
"TA+03s00","1","1","1","1","1","1","0","20251214","20261212"
"TA+03t00","1","0","0","0","0","0","0","20251214","20261212"
"TA+03x00","1","0","0","0","0","0","0","20251214","20261212"
"TA+03y00","0","0","0","0","0","1","1","20251214","20261212"
"TA+03z00","1","1","1","1","1","1","1","20251214","20261212"
"TA+04000","1","0","1","1","1","1","1","20251214","20261212"
"TA+04100","1","1","1","1","1","0","0","20251214","20261212"
"TA+04110","0","0","0","0","0","1","0","20251214","20261212"
"TA+04200","0","0","0","0","0","0","1","20251214","20261212"
"TA+04510","0","0","0","0","0","1","1","20251214","20261212"
"TA+04600","1","1","1","1","1","1","1","20251214","20261212"
"TA+04e00","1","1","1","1","1","1","1","20251214","20261212"
"TA+04j00","1","1","1","1","1","0","0","20251214","20261212"
"TA+04m00","0","1","0","0","0","0","1","20251214","20261212"
"TA+04o00","1","0","1","1","1","1","1","20251214","20261212"
"TA+04p00","1","1","1","1","1","1","1","20251214","20261212"
"TA+04q00","1","1","1","1","1","0","0","20251214","20261212"
"TA+04r00","0","0","0","0","0","1","1","20251214","20261212"
"TA+04s00","0","0","1","1","0","1","0","20251214","20261212"
"TA+04t00","1","1","1","1","1","1","1","20251214","20261212"
"TA+04u00","1","0","0","0","0","1","0","20251214","20261212"
"TA+04w00","1","0","0","1","0","1","1","20251214","20261212"
"TA+04x00","0","1","1","1","1","0","0","20251214","20261212"
"TA+04z00","1","1","1","1","1","1","1","20251214","20261212"
"TA+05000","0","1","1","1","1","1","1","20251214","20261212"
"TA+05110","1","1","1","1","0","1","0","20251214","20261212"
"TA+05200","1","1","1","1","1","1","1","20251214","20261212"
"TA+05300","1","1","1","1","1","0","1","20251214","20261212"
"TA+05310","0","0","0","1","1","1","1","20251214","20261212"
"TA+05500","0","0","0","0","1","1","0","20251214","20261212"
"TA+05600","0","0","0","0","0","1","0","20251214","20261212"
"TA+05800","0","0","1","0","1","0","0","20251214","20261212"
"TA+05900","1","1","1","1","0","0","1","20251214","20261212"
"TA+05o00","1","1","1","1","1","0","1","20251214","20261212"
"TA+05p00","1","1","1","1","1","1","0","20251214","20261212"
"TA+05q00","0","0","0","0","1","1","1","20251214","20261212"
"TA+05r00","1","1","1","1","1","0","0","20251214","20261212"
"TA+05s00","1","1","1","1","0","0","0","20251214","20261212"
"TA+05t00","1","1","1","1","1","1","0","20251214","20261212"
"TA+05u00","1","1","1","1","1","1","0","20251214","20261212"
"TA+05y00","1","1","1","1","0","0","0","20251214","20261212"
"TA+05z00","0","1","1","1","1","1","0","20251214","20261212"
"TA+06100","1","1","1","1","1","1","1","20251214","20261212"
"TA+06610","1","1","1","1","1","0","0","20251214","20261212"
"TA+06900","1","1","1","1","0","0","1","20251214","20261212"
"TA+06g00","1","1","1","1","1","1","0","20251214","20261212"
"TA+06h00","1","1","1","1","1","0","0","20251214","20261212"
"TA+06o00","1","1","1","1","1","0","0","20251214","20261212"
"TA+06p00","1","1","1","1","1","1","0","20251214","20261212"
"TA+06q00","0","0","0","0","0","1","1","20251214","20261212"
"TA+06r00","1","0","0","0","0","0","0","20251214","20261212"
"TA+06s00","1","1","1","1","1","0","0","20251214","20261212"
"TA+06t00","1","1","1","1","1","1","1","20251214","20261212"
"TA+06v00","1","1","1","1","0","1","0","20251214","20261212"
"TA+06w00","0","0","1","1","0","0","0","20251214","20261212"
"TA+07010","0","0","0","0","0","1","1","20251214","20261212"
"TA+07100","0","0","0","0","1","1","0","20251214","20261212"
"TA+07300","1","1","1","1","1","1","1","20251214","20261212"
"TA+07800","0","0","0","0","0","0","1","20251214","20261212"
"TA+07900","0","0","0","0","1","1","0","20251214","20261212"
"TA+07910","1","1","0","1","1","0","0","20251214","20261212"
"TA+07a10","0","0","0","1","1","0","1","20251214","20261212"
"TA+07b00","0","1","1","0","0","0","0","20251214","20261212"
"TA+07e00","0","0","0","1","0","1","1","20251214","20261212"
"TA+07g00","1","1","1","1","1","1","1","20251214","20261212"
"TA+07h00","0","1","0","1","0","0","0","20251214","20261212"
"TA+07k00","1","1","1","1","1","0","0","20251214","20261212"
"TA+07o00","1","1","1","1","0","0","0","20251214","20261212"
"TA+07p00","0","0","0","0","1","1","0","20251214","20261212"
"TA+07q00","1","1","1","1","1","0","0","20251214","20261212"
"TA+07r00","0","0","0","1","0","1","1","20251214","20261212"
"TA+07s00","1","1","1","1","1","1","1","20251214","20261212"
"TA+07t00","1","1","1","1","1","1","1","20251214","20261212"
"TA+07z00","1","1","1","1","1","0","0","20251214","20261212"
"TA+08000","1","1","1","0","0","0","1","20251214","20261212"
"TA+08100","0","1","0","0","0","0","0","20251214","20261212"
"TA+08110","0","0","0","0","0","1","0","20251214","20261212"
"TA+08200","1","1","1","1","1","0","0","20251214","20261212"
"TA+08600","1","1","1","1","0","1","1","20251214","20261212"
"TA+08700","1","1","1","1","1","1","1","20251214","20261212"
"TA+08810","0","0","0","1","0","0","1","20251214","20261212"
"TA+08900","1","1","1","0","0","0","0","20251214","20261212"
"TA+08e00","1","0","1","0","0","0","0","20251214","20261212"
"TA+08f00","0","0","0","1","1","1","0","20251214","20261212"
"TA+08j00","0","0","0","0","0","1","1","20251214","20261212"
"TA+08m00","1","0","1","0","0","0","0","20251214","20261212"
"TA+08o00","1","1","1","0","1","1","1","20251214","20261212"
"TA+08p00","1","1","1","1","1","1","0","20251214","20261212"
"TA+08q00","0","0","0","0","1","1","0","20251214","20261212"
"TA+08r00","1","1","1","0","0","0","0","20251214","20261212"
"TA+08s00","1","1","1","1","0","0","1","20251214","20261212"
"TA+08t00","1","0","1","1","1","1","1","20251214","20261212"
"TA+08v00","0","0","0","1","1","0","1","20251214","20261212"
"TA+08x00","0","0","1","0","0","1","1","20251214","20261212"
"TA+08z00","0","0","0","0","0","1","1","20251214","20261212"
"TA+09010","0","0","0","1","1","0","0","20251214","20261212"
"TA+09110","0","0","0","0","0","1","1","20251214","20261212"
"TA+09200","1","1","1","1","1","0","0","20251214","20261212"
"TA+09300","0","0","1","1","0","0","0","20251214","20261212"
"TA+09310","0","0","0","1","1","1","0","20251214","20261212"
"TA+09600","1","1","1","1","1","0","0","20251214","20261212"
"TA+09e00","0","0","0","0","1","0","1","20251214","20261212"
"TA+09g00","1","1","1","1","1","1","1","20251214","20261212"
"TA+09i00","0","0","0","0","0","0","1","20251214","20261212"
"TA+09o00","1","1","1","1","1","1","1","20251214","20261212"
"TA+09p00","1","1","1","1","0","0","1","20251214","20261212"
"TA+09q00","0","0","0","0","0","0","1","20251214","20261212"
"TA+09r00","0","0","0","0","0","1","1","20251214","20261212"
"TA+09s00","1","1","1","1","0","0","0","20251214","20261212"
"TA+09t00","1","1","1","1","1","1","0","20251214","20261212"
"TA+09x00","0","0","1","0","1","0","0","20251214","20261212"
"TA+09y00","0","0","0","0","0","1","0","20251214","20261212"
"TA+09z00","0","0","0","0","0","0","1","20251214","20261212"
"TA+0a300","1","1","1","1","1","1","1","20251214","20261212"
"TA+0a400","0","0","0","1","0","0","0","20251214","20261212"
"TA+0a600","0","1","1","1","1","1","1","20251214","20261212"
"TA+0aa00","0","1","1","0","0","1","1","20251214","20261212"
"TA+0ac00","0","0","0","0","0","1","0","20251214","20261212"
"TA+0ad00","1","0","1","1","1","0","0","20251214","20261212"
"TA+0ae00","1","1","1","1","0","1","0","20251214","20261212"
"TA+0af00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0ag00","0","0","0","0","1","0","0","20251214","20261212"
"TA+0am00","0","0","0","0","0","1","0","20251214","20261212"
"TA+0ao00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0ap00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0aq00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0ar00","0","0","0","0","1","1","1","20251214","20261212"
"TA+0as00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0at00","0","0","0","1","0","1","1","20251214","20261212"
"TA+0au00","0","1","1","1","1","0","0","20251214","20261212"
"TA+0aw00","1","0","1","1","1","0","0","20251214","20261212"
"TA+0ax00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0az00","0","1","1","0","1","0","0","20251214","20261212"
"TA+0b","1","1","1","1","1","0","0","20251214","20261212"
"TA+0B","0","0","0","0","0","0","1","20251214","20261212"
"TA+0b000","1","1","1","1","1","1","1","20251214","20261212"
"TA+0b200","1","1","1","1","1","1","1","20251214","20261212"
"TA+0b310","0","1","0","1","0","0","0","20251214","20261212"
"TA+0b500","1","0","1","1","1","1","1","20251214","20261212"
"TA+0b610","0","0","0","0","1","0","1","20251214","20261212"
"TA+0b700","1","1","1","1","1","0","0","20251214","20261212"
"TA+0b900","0","0","0","0","1","1","1","20251214","20261212"
"TA+0bc00","0","0","0","0","1","0","0","20251214","20261212"
"TA+0bd00","0","0","0","0","0","1","0","20251214","20261212"
"TA+0be00","0","0","0","0","1","1","1","20251214","20261212"
"TA+0bg00","0","0","0","0","0","0","1","20251214","20261212"
"TA+0bi00","0","0","0","0","0","1","0","20251214","20261212"
"TA+0bl00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0bo00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0bp00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0bq00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0br00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0bs00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0bv00","0","1","0","1","0","0","0","20251214","20261212"
"TA+0bw00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0C","1","1","1","1","1","0","0","20251214","20261212"
"TA+0c000","0","0","0","0","0","1","1","20251214","20261212"
"TA+0c100","0","0","0","1","1","0","1","20251214","20261212"
"TA+0c110","1","0","0","0","0","0","1","20251214","20261212"
"TA+0c200","1","1","1","1","0","1","1","20251214","20261212"
"TA+0c300","1","1","1","1","1","1","1","20251214","20261212"
"TA+0c400","0","0","0","0","0","1","0","20251214","20261212"
"TA+0c410","0","0","0","0","0","1","0","20251214","20261212"
"TA+0c700","0","0","0","0","1","1","0","20251214","20261212"
"TA+0c710","0","0","0","0","0","1","0","20251214","20261212"
"TA+0cb00","0","1","0","0","0","0","0","20251214","20261212"
"TA+0cd00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0ce00","0","0","0","0","0","1","0","20251214","20261212"
"TA+0cf00","0","0","1","0","0","0","1","20251214","20261212"
"TA+0cj00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0ck00","0","0","0","0","1","1","0","20251214","20261212"
"TA+0cn00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0co00","1","0","1","0","0","0","0","20251214","20261212"
"TA+0cp00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0cq00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0cr00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0cs00","1","0","0","0","1","0","0","20251214","20261212"
"TA+0ct00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0cu00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0cv00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0cx00","0","0","0","1","1","0","1","20251214","20261212"
