route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"91-10-A-j26-1","78","S10","","S","109"
"91-10-B-j26-1","11","S10","","S","109"
"91-10-C-j26-1","65","S10","","S","109"
"91-10-D-j26-1","11","10","","EXT","117"
"91-10-E-j26-1","3849","10","","T","900"
"91-10-j26-1","37","10","","T","900"
"91-11-A-j26-1","11","S11","","S","109"
"91-11-C-j26-1","3849","11","","T","900"
"91-11-E-j26-1","11","SN11","","SN","109"
"91-11-G-j26-1","11","R11","","R","106"
"91-11-H-j26-1","11","S11","","S","109"
"91-11-I-j26-1","11","S11","","S","109"
"91-11-j26-1","37","11","","T","900"
"91-11-K-j26-1","72","R11","","R","106"
"91-11-M-j26-1","81","S11","","S","109"
"91-11-N-j26-1","33","R11","","R","106"
"91-11-O-j26-1","33","RE11","","RE","106"
"91-11-P-j26-1","33","S11","","S","109"
"91-121-A-j26-1","87_LEX","IC121A","","IC","102"
"91-12-A-j26-1","65","S12","","S","109"
"91-12-B-j26-1","881","12","","T","900"
"91-12-C-j26-1","3849","12","","T","900"
"91-12-D-j26-1","33","RE12","","RE","106"
"91-12-F-j26-1","37","12","","T","900"
"91-12-I-j26-1","97","R12","","R","106"
"91-12-j26-1","11","S12","","S","109"
"91-12-K-j26-1","11","RE12","","RE","106"
"91-12-L-j26-1","56","S12","","S","109"
"91-12-M-j26-1","33","R12","","R","106"
"91-12-Y-j26-1","11","S","","S","109"
"91-13-A-j26-1","82","S13","","S","109"
"91-13-B-j26-1","3849","13","","T","900"
"91-13-C-j26-1","72","RE13","","RE","106"
"91-13-F-j26-1","65","RE13","","RE","106"
"91-13-G-j26-1","11","R13","","R","106"
"91-13-H-j26-1","65","S13","","S","109"
"91-13-I-j26-1","82","IR13","","IR","103"
"91-13-j26-1","11","IR13","","IR","103"
"91-13-L-j26-1","82","SN13","","SN","109"
"91-14-A-j26-1","96","S14","","S","109"
"91-14-B-j26-1","65","S14","","S","109"
"91-14-C-j26-1","11","S14","","S","109"
"91-14-D-j26-1","881","14","","T","900"
"91-14-E-j26-1","3849","14","","T","900"
"91-14-I-j26-1","65","SN14","","SN","109"
"91-14-j26-1","823","14","","T","900"
"91-15-B-j26-1","11","IR15","","IR","103"
"91-15-C-j26-1","11","S15","","S","109"
"91-15-D-j26-1","881","15","","T","900"
"91-15-E-j26-1","3849","15","","T","900"
"91-15-F-j26-1","72","15","","EXT","117"
"91-15-I-j26-1","22","S15","","S","109"
"91-15-j26-1","823","15","","T","900"
"91-15-J-j26-1","72","R15","","R","106"
"91-15-K-j26-1","44","R15","","R","106"
"91-15-L-j26-1","11","RE15","","RE","106"
"91-16-A-j26-1","11","S16","","S","109"
"91-16-B-j26-1","11","IR16","","IR","103"
"91-16-G-j26-1","11","R16","","R","106"
"91-16-H-j26-1","72","R16","","R","106"
"91-16-j26-1","823","16","","T","900"
"91-17-A-j26-1","31","S17","","S","109"
"91-17-B-j26-1","33","IR17","","IR","103"
"91-17-C-j26-1","82","IR17","","IR","103"
"91-17-D-j26-1","881","17","","T","900"
"91-17-E-j26-1","3849","17","","T","900"
"91-17-F-j26-1","11","IR17","","IR","103"
"91-17-j26-1","37","17","","T","900"
"91-17-M-j26-1","82","S17","","S","109"
"91-18-C-j26-1","72","R18","","R","106"
"91-18-D-j26-1","46","18","","T","900"
"91-18-j26-1","881","18","","T","900"
"91-19-A-j26-1","11","S19","","S","109"
"91-19-B-j26-1","37","19","","T","900"
"91-19-G-j26-1","72","R19","","R","106"
"91-19-Y-j26-1","11","IC","","IC","102"
"91-1A-j26-1","87_LEX","001A","","TGV","101"
"91-1-A-j26-1","11","S1","","S","109"
"91-1A-Y-j26-1","72","S","","S","109"
"91-1B-j26-1","87_LEX","001B","","TGV","101"
